Seq_number	New_name	Site	Bio_rep	Tech_rep	Sample_Control	Control_Type
Sample1.MIU.1.S01	Anacapa_A_1	Anacapa	A	1	Sample	NA
Sample2.MIU.1.S02	Anacapa_A_2	Anacapa	A	2	Sample	NA
Sample3.MIU.1.S03	Anacapa_A_3	Anacapa	A	3	Sample	NA
Sample4.MIU.1.S04	Limu_A_1	Limu	A	1	Sample	NA
Sample5.MIU.1.S05	Limu_A_2	Limu	A	2	Sample	NA
Sample6.MIU.1.S06	Limu_A_3	Limu	A	3	Sample	NA
Sample7.MIU.1.S07	Wima_A_1	Wima	A	1	Sample	NA
Sample8.MIU.1.S08	Wima_A_2	Wima	A	2	Sample	NA
Sample9.MIU.1.S09	Wima_A_3	Wima	A	3	Sample	NA
Pos1.MIU.1.S10	Positive_1	NA	NA	NA	Control	Pos
Neg1.MIU.1.S12	Negative_1	NA	NA	NA	Control	Blank
Sample1.MIU.1.S01	Anacapa_B_1	Anacapa	B	1	Sample	NA
Sample2.MIU.1.S02	Anacapa_B_2	Anacapa	B	2	Sample	NA
Sample3.MIU.1.S03	Anacapa_B_3	Anacapa	B	3	Sample	NA
Sample4.MIU.1.S04	Limu_B_1	Limu	B	1	Sample	NA
Sample5.MIU.1.S05	Limu_B_2	Limu	B	2	Sample	NA
Sample6.MIU.1.S06	Limu_B_3	Limu	B	3	Sample	NA
Sample7.MIU.1.S07	Wima_B_1	Wima	B	1	Sample	NA
Sample8.MIU.1.S08	Wima_B_2	Wima	B	2	Sample	NA
Sample9.MIU.1.S09	Wima_B_3	Wima	B	3	Sample	NA
Pos1.MIU.1.S10	Positive_2	NA	NA	NA	Control	Pos
Neg1.MIU.1.S12	Negative	NA	NA	NA	Control	Blank
